,reviews_classified_all
0,o aplicativo ate da pra usar mas o caixa faz coisas muito chatas as vezes bloquearam minha chave de movimentacao por conta de saldo sendo que nem chegou a atingir o limite
1,o aplicativo esta dando muito bugue bloqueio e fica pedindo para ir ao caixa eletronico para desbloquear
2,aplicativo proveitoso porem o pix tem trazido alguns transtornos com o bloqueio da senha sem justificativa plausivel
3,ja foi bom hoje em dia nao e mais fez o bloqueio da minha conta 3 vezes desapontante
4,frequentemente ha o bloqueio da senha sendo que acessa pela primeira vez no dia
5,to pequeno problemas porem caixa bloqueio minha conta mas fora isso e excelente
6,o dificil e essa chave tem valida na agencia
7,o aplicativo esta com problemas nao consigo receber pix nas minhas chaves cadastradas quem vai me mandar os pix esta com dificuldades pois diz que nao existe ou que o banco nao esta respondendo
8,otimo so nao dei as 5 estrelas pois os bancos digitais ta mrlhor em wiestao de chave pix fazemos tudo pelo celular ja aqui er mais complicado mais mesmo assim adorei o aplicativo
9,facil de olhar extrato e gostaria de ter a chave pix
10,nao e muito pratico quando se quer cadastrar chave pix tem que ir ate o eletronico poderia ser tudo pelo aplicativo
11,ta uma verdadeira burocracia para usar no meu j7 metal coloco opcao pix copia e cola clico em continuar ele pede o valorsendo que o aplicativo so disponibiliza valor na opcao de inserir a chave o loco me ajuda ai concertem isso ai que nao ta legal nao 🤦‍
12,nao esta funcionando e bloqueio o acesso
13,infelizmente o aplicativo e ultra obsoleto tanto no seu visual quanto na funcionalidade as funcoes nao estao organizadas de forma clara e intuitiva o que deixa o aplicativo com um visual muito poluido e nada intuitivo extra isto ainda tem o constante bloqueio de usuario e senha fazendo necessario a criacao contante de novo usuario e senha vamos melhorar este aplicativo caixa
14,se tivesse como dar 5 estrelas ainda seria pouco pra avaliar esse projeto de aplicativo toda vez que faco um login nao dura mais que 1 mes e diz que o login nao e mais valido e tem que ser criado um novo e as chaves pix nao prestam so recebem mas sempre que vai passar um pix diz que nao e possivel realizar a transferencia e o suporte e inexistente nao funciona nunca resolvem o problema esse e o pior aplicativo de banco do mundo tenho certeza disso vou fazer um novo login e mudar de banco recomendo a todos fazerem o mesmo
